ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
6,0,0,0,0,0,0,0,0,0,590,193,8,0,0,0,0,0,45,361,29,0,0,0,0,0,1,24,9,14,0,0,0,0,1,502,12,51,87,0,0,0,0,43,43,1805,2475,198,0,0,0,624,327,172,1616,13822,2336,0,0,0,0,0,0,7,147
7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,33
ukbench00002.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,1,29,38,1,0,0,0,0,0,0,98,202,16,0,0,0,0,0,3,123,754,348,6,0,0,0,0,0,364,4329,1262,60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,73,5042,187,47,0,0,0,0,6,196,940,940,286,1,0,0,0,0,21,984,1785,450,1,0,0,0,0,6,661,17044,2686,2,0,0,0,0,0,404,9230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,0,0,0,0,0,0,64,963,119,8,0,0,0,0,43,768,2295,477,3,0,0,0,2,99,619,2560,1829,19,0,0,0,1,29,25,2552,8539,112,0,0,0,0,0,0,1538,2767,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,12,16,0,0,0,0,0,0,31,1269,185,3,0,0,0,0,47,738,2220,178,0,0,0,0,8,257,3822,18118,997,3,0,0,0,30,719,1480,3830,3640,5,0,0,0,98,537,12,4571,1727,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0
4,1,17,0,0,0,0,0,0,14,1848,258,28,0,0,0,0,6,440,795,108,2,0,0,0,2,348,1378,12652,241,3,0,0,1,72,867,17593,52746,3017,4,0,0,1,342,780,1076,5753,1198,1,0,0,0,0,0,90,342,23,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,2,2976,322,1,0,0,0,0,0,106,384,31,0,0,0,0,0,315,466,165,43,3,0,0,0,306,1598,2403,8960,376,0,0,0,14,237,949,8072,33136,4938,1,0,0,14,1,19,294,5045,454,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,946,113,0,0,0,0,0,0,33,59,16,0,0,0,0,0,2,9,18,8,1,0,0,0,9,29,1,141,82,0,0,0,0,64,11,888,2485,85,0,0,0,740,35,83,674,6744,1402,0,0,0,0,0,0,59,58
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,48,15
ukbench00003.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1399,325,2,0,0,0,0,0,511,1132,1013,70,0,0,0,0,0,9,508,792,197,16,0,0,0,0,2,308,4606,640,14,0,0,0,0,0,323,207,991,243,0,0,0,0,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,592,210,0,0,0,0,0,0,824,2585,796,179,0,0,0,0,65,334,1123,1086,207,4,0,0,1,1,11,782,1205,201,0,0,0,0,0,0,336,20336,4424,3,0,0,0,0,0,157,1277,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,227,89,0,0,0,0,0,0,279,1341,274,7,0,0,0,0,131,1784,5705,721,10,0,0,0,2,310,577,1656,1160,20,0,0,0,2,107,21,1000,4857,69,0,0,0,1,0,0,4173,5846,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,115,157,2,0,0,0,0,0,86,1039,287,35,0,0,0,0,71,519,3185,280,1,0,0,0,31,186,2993,30412,2912,9,0,0,0,29,1590,1463,3679,1293,11,0,0,0,332,15,39,1564,1176,6,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
4,58,415,3,0,0,0,0,0,14,1119,303,7,0,0,0,0,9,220,270,62,3,0,0,0,9,207,412,2959,1027,0,0,0,1,55,1712,4808,62689,5721,7,0,0,15,277,78,1750,6502,1130,1,0,0,0,0,0,1,111,7,0,0,0,0,0,0,0,0
5,12,1266,1,0,0,0,0,0,0,1065,302,3,0,0,0,0,1,36,125,40,1,0,0,0,0,164,128,214,75,0,0,0,0,934,900,2288,3252,914,0,0,0,320,500,181,5322,37684,4600,3,0,0,3,2,6,565,5001,262,0,0,0,0,0,0,0,2
6,0,130,6,0,0,0,0,0,0,418,179,1,0,0,0,0,0,8,39,23,0,0,0,0,0,15,18,11,22,0,0,0,0,19,19,4,99,29,0,0,0,14,76,48,732,2482,203,0,0,0,13,16,13,2388,7208,215,0,0,0,0,0,4,74,27
7,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,33,27,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,2,32,8,0,0,0,0,0,5,179,152
ukbench00004.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,0,108,331,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,411,2140,269,0,0,0,0,0,38,646,16986,7976,0,0,0,0,0,0,15,3944,136,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,5,243,33,2,0,0,0,0,0,667,5376,3755,1835,0,0,0,0,8,877,864,7976,1964,33,0,0,0,1,1,32,1661,397,6,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,703,226,0,0,0,0,0,4,441,5513,214,4,0,0,0,0,49,6075,10938,1157,76,0,0,0,0,173,4989,2205,1192,728,3,0,0,0,0,22,67,418,809,0,0,0,0,0,0,1,56,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,1791,1408,0,0,0,0,0,0,1098,4859,221,3,0,0,0,0,84,1349,2413,242,1,0,0,0,4,873,10953,28548,7796,33,0,0,0,0,209,2157,6118,1099,1176,0,0,0,0,0,0,218,1419,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,2087,3773,0,0,0,0,0,0,968,3212,158,0,0,0,0,0,19,1265,1254,39,0,0,0,0,0,1277,4274,3839,320,0,0,0,0,13,1252,4016,54457,18795,79,0,0,0,0,6,169,3049,460,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,106,268,0,0,0,0,0,0,654,880,38,1,0,0,0,0,0,43,87,2,0,0,0,0,0,97,1454,495,10,0,0,0,0,22,2102,7506,773,577,0,0,0,0,5,1361,1980,14105,569,0,0,0,0,0,0,10,141
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,1,43,36,1,0,0,0,0,0,3,15,43,10,0,0,0,0,0,0,1,50
ukbench00005.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,16,0,0,0,0,0,0,3,69,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,3,297,1598,79,0,0,0,0,0,48,1454,18972,6539,1,0,0,0,0,0,26,4812,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,134,62,0,0,0,0,0,3,457,1681,4597,1530,0,0,0,0,3,1070,1037,6448,1242,21,0,0,0,0,1,46,1310,451,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,703,252,0,0,0,0,0,1,543,2412,221,2,0,0,0,0,93,4470,35972,921,76,0,0,0,1,243,5507,1774,973,527,0,0,0,0,1,13,37,1329,552,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,1410,1245,0,0,0,0,0,0,806,5414,230,0,0,0,0,0,243,1571,3785,178,1,0,0,0,6,1742,10494,28632,7577,14,0,0,0,0,172,1580,5534,1997,474,0,0,0,0,0,3,170,704,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1950,2709,0,0,0,0,0,0,778,3715,79,0,0,0,0,0,51,1371,914,19,0,0,0,0,2,1528,4535,3783,275,0,0,0,0,13,1241,3533,43015,15264,24,0,0,0,0,16,187,4705,262,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,0,79,200,0,0,0,0,0,0,406,558,19,0,0,0,0,0,0,20,57,2,0,0,0,0,0,49,1010,428,4,0,0,0,0,11,1617,7646,736,312,0,0,0,0,2,1092,980,16324,627,0,0,0,0,0,0,13,55
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,14,11,1,0,0,0,0,0,0,0,14
ukbench00006.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,848,2694,0,0,0,0,0,0,8,4529,1006,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,417,197,0,0,0,0,0,43,349,9991,19223,57,0,0,0,0,0,14,2423,1362,18,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,389,78,0,0,0,0,0,6,724,1612,1583,437,0,0,0,0,16,979,901,1040,1691,64,0,0,0,0,59,94,1257,1085,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,21,1515,201,0,0,0,0,0,6,706,1335,231,4,0,0,0,0,169,4678,21334,693,31,0,0,0,0,798,5540,1319,646,283,0,0,0,0,59,98,85,2305,0,0,0,0,0,0,0,15
5,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,0,0,52,4039,509,0,0,0,0,0,11,1327,2424,109,2,0,0,0,0,340,1299,4647,238,2,0,0,0,62,1782,9237,18720,9641,8,0,0,0,0,570,1782,9298,2359,0,0,0,0,0,0,3,939
6,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,57,7422,380,0,0,0,0,0,1,560,1891,23,0,0,0,0,0,193,1213,537,28,0,0,0,0,19,2048,4715,3430,330,2,0,0,0,94,1486,3851,76932,9306,0,0,0,0,0,16,315,2942
7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1076,73,0,0,0,0,0,1,361,83,5,0,0,0,0,0,0,79,56,2,0,0,0,0,0,256,1121,287,7,0,0,0,0,109,1606,7942,909,383,0,0,0,0,0,295,655,6984
ukbench00007.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,0,8,94,28,0,0,0,0,0,0,2,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,84,1899,255,0,0,0,0,0,43,644,16584,8339,1,0,0,0,0,0,7,9679,345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,4,390,61,0,0,0,0,0,0,463,4958,3418,1314,0,0,0,0,8,1035,870,3793,2609,7,0,0,0,0,4,42,1124,569,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,1432,283,0,0,0,0,0,1,556,6707,185,1,0,0,0,0,82,10327,16244,1338,59,0,0,0,0,451,5119,2560,990,673,2,0,0,0,8,50,61,646,710,0,0,0,0,0,0,1,157,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,2704,1382,0,0,0,0,0,0,899,4170,141,2,0,0,0,0,59,1391,2321,157,2,0,0,0,3,827,9887,20537,4690,20,0,0,0,0,232,2161,3898,1046,672,0,0,0,0,0,0,106,1530,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,3513,2808,0,0,0,0,0,0,1070,2170,84,0,0,0,0,0,28,1241,1027,17,1,0,0,0,3,1219,4782,3344,246,1,0,0,0,36,1086,4163,45739,18418,5,0,0,0,0,5,164,5876,391,0,0,0,0,0,0,0,6
6,0,0,0,0,0,0,0,0,0,67,191,0,0,0,0,0,0,491,378,18,0,0,0,0,0,0,29,65,2,0,0,0,0,0,52,1081,378,7,1,0,0,0,39,1485,7284,791,1129,0,0,0,0,0,1227,1598,25810,833,0,0,0,0,0,0,48,214
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,31,28,2,0,0,0,0,0,0,27,52,15,0,0,0,0,0,0,7,139
ukbench00008.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2393,260,0,0,0,0,0,0,148,602,1141,400,0,0,0,0,76,190,32,1147,6562,375,0,0,1,0,0,2,870,1662,500,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,590,4,0,0,0,0,0,0,3074,7100,554,54,0,0,0,0,788,1060,311,652,197,0,0,0,165,2061,20,13,176,172,97,0,2,332,15,0,0,48,453,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,499,23,0,0,0,0,0,0,567,1721,21,1,0,0,0,0,370,7089,13714,271,8,0,0,0,85,1662,550,616,79,28,0,0,0,1646,385,3,1,51,1,0,0,3,500,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,828,471,0,0,0,0,0,0,90,403,35,0,0,0,0,0,1049,1024,3961,296,0,0,0,0,503,242,4759,35035,2352,2,0,0,0,374,196,1475,4331,98,3,0,0,0,325,78,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2598,1937,0,0,0,0,0,0,54,851,22,0,0,0,0,0,59,37,398,28,0,0,0,0,3871,1678,1549,3960,515,0,0,0,467,3248,395,5912,63830,5904,0,0,0,0,0,22,2008,7996,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,878,386,0,0,0,0,0,0,15,1966,145,0,0,0,0,0,4,3,46,3,0,0,0,0,111,34,2,21,7,0,0,0,933,4163,718,1533,4540,237,0,0,0,1495,627,434,3944,39779,2983,0,0,0,0,0,0,460,3000,0,0,0,0,0,0,0,0,0
6,0,19,0,0,0,0,0,0,0,1187,181,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,23,0,0,0,0,678,437,229,385,307,17,0,0,10,98,55,139,471,4539,47,0,0,0,0,0,0,0,4
7,0,0,0,0,0,0,0,0,0,2,47,0,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0,27,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,0,0,0,0,0,0,0,0,0,1,0
ukbench00009.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,110,3,268,75,0,0,0,0,253,37,34,5044,2894,8,0,0,14,32,0,2,821,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,128,2,0,0,0,0,0,0,188,1401,27,0,0,0,0,0,837,1399,150,1274,523,0,0,0,569,1736,14,11,967,2072,0,0,4,1781,0,0,0,1,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,575,3,0,0,0,0,0,0,316,568,28,3,0,0,0,0,1240,1229,10065,195,8,0,0,0,187,469,577,364,184,2,0,0,1,932,478,0,5,1,0,0,0,266,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,190,12,0,0,0,0,0,0,109,410,37,6,0,0,0,0,2470,479,1556,193,0,0,0,0,2342,1426,3656,29361,538,0,0,0,1,1225,516,983,831,15,0,0,0,224,537,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2085,258,0,0,0,0,0,0,248,1908,93,0,0,0,0,0,103,36,176,15,0,0,0,0,2957,880,729,3282,364,0,0,0,731,204,434,5130,45850,827,0,0,0,0,0,19,1083,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,323,112,0,0,0,0,0,0,342,4852,37,0,0,0,0,0,3,0,23,0,0,0,0,0,81,26,51,52,6,0,0,0,2647,3901,484,2838,5410,393,0,0,23,654,61,128,7193,61989,820,0,0,0,0,0,0,918,521,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,0,3,37,1,0,0,0,0,0,0,0,1,0,0,0,0,0,47,2,0,0,0,0,0,0,371,1805,626,1464,4720,435,0,0,0,353,357,129,6027,38372,51,0,0,0,0,0,0,20,5
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,35,32,57,8,61,7,0,0,0,0,0,0,50,69
ukbench00010.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,25,13,256,45,0,0,0,0,32,18,15,2304,4339,4,0,0,0,1,0,0,1940,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112,2,0,0,0,0,0,0,26,281,66,1,0,0,0,0,913,2503,137,1659,810,0,0,0,160,2559,18,71,1846,2130,0,0,1,1040,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,765,16,0,0,0,0,0,0,60,281,23,2,0,0,0,0,363,764,6704,223,5,0,0,0,312,1566,561,458,174,13,0,0,1,344,198,1,1,26,15,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,167,8,0,0,0,0,0,0,18,282,43,4,0,0,0,0,2329,336,1774,120,0,0,0,0,3118,1971,1675,33135,746,0,0,0,2,150,1595,1437,1316,14,3,0,0,10,1651,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,272,86,0,0,0,0,0,0,115,1585,96,0,0,0,0,0,165,50,119,24,0,0,0,0,3024,2717,995,5078,533,0,0,0,428,1122,627,6607,72993,774,0,0,0,0,140,18,1520,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1067,471,0,0,0,0,0,0,133,6278,35,0,0,0,0,0,0,1,7,0,0,0,0,0,37,33,17,19,1,0,0,0,929,8550,434,2154,7518,424,0,0,4,1165,123,43,9908,63128,246,0,0,0,0,0,0,754,163,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,76,33,0,0,0,0,0,0,0,43,5,0,0,0,0,0,0,0,3,0,0,0,0,0,173,15,0,4,0,0,0,0,415,321,14,1664,2708,81,0,0,0,1,9,1,3467,5029,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,2,1,0,0,0,0,0,0,0,0,7
ukbench00011.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,525,314,1,0,0,0,0,0,94,545,1283,258,0,0,0,0,109,106,50,1110,6685,192,0,0,3,1,0,0,2274,2608,525,0,0,0,0,0,0,2,645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
